Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
Mercedes-Benz AMG GT R,229900 EUR,2019,15500 km,Gasolina,Automática,Coupé,3 982 cm3,585 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-amg-gt-ver-r-ID8PQqRG.html
Mercedes-Benz AMG GT R,235000 EUR,2021,14000 km,Gasolina,Automática,Coupé,3 982 cm3,585 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-amg-gt-ver-r-ID8PRN3V.html
Mercedes-Benz AMG GT R,290000 EUR,2020,10858 km,Gasolina,Automática,Coupé,3 982 cm3,585 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-amg-gt-ver-r-ID8PMLmJ.html
