Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
Lamborghini Aventador S,680000 EUR,2021,21500 km,Gasolina,Automática,Cabrio,6 498 cm3,740 cv,https://www.standvirtual.com/carros/anuncio/lamborghini-aventador-ver-s-ID8PFaKt.html
Lamborghini Aventador 6.5 V12 LP720-4,325900 EUR,2012,14000 km,Gasolina,Automática,Coupé,6 498 cm3,720 cv,https://www.standvirtual.com/carros/anuncio/lamborghini-aventador-ver-6-5-v12-lp720-4-ID8PNW63.html
Lamborghini Aventador LP 750-4 Superveloce,530000 EUR,2017,6500 km,Gasolina,Automática,Coupé,6 498 cm3,750 cv,https://www.standvirtual.com/carros/anuncio/lamborghini-aventador-ver-lp-750-4-superveloce-ID8PLZ2z.html
Lamborghini Aventador SVJ Roadster,849000 EUR,2019,26000 km,Gasolina,Automática,Cabrio,6 498 cm3,770 cv,https://www.standvirtual.com/carros/anuncio/lamborghini-aventador-ver-svj-roadster-ID8PQbUy.html
Lamborghini Aventador 6.5 V12 LP750-4 SV,522750 EUR,2017,15487 km,Gasolina,Automática,Coupé,6 498 cm3,750 cv,https://www.standvirtual.com/carros/anuncio/lamborghini-aventador-ver-6-5-v12-lp750-4-sv-ID8PPJaI.html
