Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
Mercedes-Benz S 63 AMG Coupe Speedshift 7G-MCT,99900 EUR,2015,28500 km,Gasolina,Automática,Coupé,5 461 cm3,585 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-63-ver-coupe-speedshift-7g-mct-ID8PRTPA.html
Mercedes-Benz S 400 d,81490 EUR,2020,37979 km,Gasóleo,Automática,Sedan,2 925 cm3,340 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-400-ver-d-ID8PMZP1.html
Mercedes-Benz S 400 d Longo,65000 EUR,2018,41776 km,Gasóleo,Automática,Sedan,2 925 cm3,340 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-400-ver-d-longo-ID8PJw1S.html
Mercedes-Benz S 63 AMG 4-Matic,119900 EUR,2015,49000 km,Gasolina,Automática,Coupé,5 461 cm3,585 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-63-ver-4-matic-ID8PKWAC.html
Mercedes-Benz S 400 d,88490 EUR,2020,37979 km,Gasóleo,Automática,Sedan,2 925 cm3,340 cv,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-400-ver-d-ID8PLXjL.html
