Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
BMW M8,132500 EUR,2021,44500 km,Gasolina,Automática,Coupé,4 395 cm3,625 cv,https://www.standvirtual.com/carros/anuncio/bmw-bmw-m8-ID8POdLt.html
BMW M850i xDrive,96950 EUR,2021,21000 km,Gasolina,Automática,Cabrio,4 395 cm3,530 cv,https://www.standvirtual.com/carros/anuncio/bmw-m850i-ver-m850-i-xdrive-ID8PQqRT.html
