Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
Audi R8 Coupé 5.2 FSI quattro S tronic,119990 EUR,2013,20500 km,Gasolina,Automática,Coupé,5 204 cm3,550 cv,https://www.standvirtual.com/carros/anuncio/audi-r8-ver-5-2-fsi-quattro-s-tronic-ID8PQ0dZ.html
Audi R8 Spyder 5.2 FSi V10 quattro R tronic,100000 EUR,2010,50139 km,Gasolina,Automática,Coupé,5 204 cm3,525 cv,https://www.standvirtual.com/carros/anuncio/audi-r8-spyder-ver-5-2-fsi-v10-quattro-r-tronic-ID8PI58M.html
Audi R8 Spyder,104900 EUR,2014,71850 km,Gasolina,Automática,Cabrio,4 163 cm3,430 cv,https://www.standvirtual.com/carros/anuncio/audi-r8-spyder-ID8PNoSp.html
